"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",41289.2489973456,42311.1994646024,1021.95046725683,TRUE
"2","Employee 2",43829.051561188,50717.3368160147,6888.28525482677,TRUE
"3","Employee 3",48025.6713577546,52062.1077925898,4036.4364348352,TRUE
"4","Employee 4",44477.9277569614,49290.471522836,4812.54376587458,TRUE
"5","Employee 5",49475.7962739095,56109.5180094708,6633.72173556127,TRUE
"6","Employee 6",41941.0049705766,42376.7842608504,435.779290273786,TRUE
"7","Employee 7",42705.8105450124,50522.0527236816,7816.2421786692,TRUE
"8","Employee 8",49038.9144676737,56715.9146617632,7677.00019408949,TRUE
"9","Employee 9",41589.5872493275,37268.0002264678,-4321.5870228596,FALSE
"10","Employee 10",46490.5224856921,43176.4915352687,-3314.03095042333,FALSE
"11","Employee 11",41068.7207966112,41855.1138008479,786.393004236743,TRUE
"12","Employee 12",46285.0055261515,43609.5376731828,-2675.46785296872,FALSE
"13","Employee 13",42211.0713063739,41766.4830351714,-444.58827120252,FALSE
"14","Employee 14",41666.3382807747,47975.0650865026,6308.72680572793,TRUE
"15","Employee 15",44051.905835513,51863.5534704663,7811.64763495326,TRUE
"16","Employee 16",47167.664647568,54846.508706687,7678.844059119,TRUE
"17","Employee 17",45880.2932244726,45850.9841980413,-29.3090264312923,FALSE
"18","Employee 18",41291.6277209297,40795.4725250602,-496.155195869505,FALSE
"19","Employee 19",41982.8735804185,39680.260384921,-2302.61319549754,FALSE
"20","Employee 20",42260.1090604439,48028.6576203071,5768.54855986312,TRUE
"21","Employee 21",45741.451443173,48633.6629360449,2892.21149287187,TRUE
"22","Employee 22",41753.1822994351,49100.4074900411,7347.22519060597,TRUE
"23","Employee 23",42776.3795759529,38971.9349960797,-3804.44457987323,FALSE
"24","Employee 24",42692.4032741226,45086.4474126138,2394.04413849115,TRUE
"25","Employee 25",41185.0647511892,37595.2839211095,-3589.78083007969,FALSE
"26","Employee 26",45847.8965749964,42014.3560692668,-3833.54050572962,FALSE
"27","Employee 27",40800.6363641471,44123.2399141882,3322.60355004109,TRUE
"28","Employee 28",43107.8050425276,46939.594252035,3831.78920950741,TRUE
"29","Employee 29",44716.4490399882,42006.9321116898,-2709.5169282984,FALSE
"30","Employee 30",48637.8496745601,43666.8699712027,-4970.97970335744,FALSE
"31","Employee 31",46766.8297793716,52907.1960470174,6140.36626764573,TRUE
"32","Employee 32",40745.7419321872,48613.5700414889,7867.82810930163,TRUE
"33","Employee 33",43041.4412682876,41375.1779007725,-1666.26336751506,FALSE
"34","Employee 34",41727.5937413797,50375.2981394064,8647.70439802669,TRUE
"35","Employee 35",46903.24468771,51958.2960859407,5055.05139823072,TRUE
"36","Employee 36",45577.950195875,41384.3370089307,-4193.61318694428,FALSE
"37","Employee 37",44637.6846265048,45138.8753636274,501.19073712267,TRUE
"38","Employee 38",49973.0138108134,58795.3326525167,8822.31884170324,TRUE
"39","Employee 39",40467.123282142,42350.0658641569,1882.94258201495,TRUE
"40","Employee 40",45668.4111454524,49542.9087500088,3874.49760455638,TRUE
"41","Employee 41",40020.5736025237,41698.6692568753,1678.09565435164,TRUE
"42","Employee 42",47485.5279643089,44823.8969326485,-2661.63103166036,FALSE
"43","Employee 43",43957.2186931036,51842.1938992105,7884.9752061069,TRUE
"44","Employee 44",49584.2962595634,54089.3018443603,4505.00558479689,TRUE
"45","Employee 45",42507.3417881504,39332.9416937195,-3174.40009443089,FALSE
"46","Employee 46",46499.0523853339,52454.9554870464,5955.90310171247,TRUE
"47","Employee 47",47543.940753676,50070.7876542583,2526.84690058231,TRUE
"48","Employee 48",41965.0394283235,48089.4498492125,6124.41042088903,TRUE
"49","Employee 49",43286.6448815912,49573.3618084341,6286.71692684293,TRUE
"50","Employee 50",41644.9520271271,40191.9989380985,-1452.9530890286,FALSE
"51","Employee 51",48807.443708647,50560.6671224814,1753.22341383435,TRUE
"52","Employee 52",46743.6229577288,51749.9082337599,5006.28527603112,TRUE
"53","Employee 53",40720.5586880445,48706.7455041688,7986.18681612425,TRUE
"54","Employee 54",47765.3053379618,50925.3665921278,3160.06125416607,TRUE
"55","Employee 55",44366.2698497064,45777.5436539669,1411.27380426042,TRUE
"56","Employee 56",48925.1023693942,57772.7579372004,8847.65556780621,TRUE
"57","Employee 57",46392.14071678,51346.9723879825,4954.83167120256,TRUE
"58","Employee 58",47806.6770453006,54191.579062026,6384.90201672539,TRUE
"59","Employee 59",46383.2434499636,52104.4928114861,5721.2493615225,TRUE
"60","Employee 60",42304.7128692269,43052.7041072492,747.991238022223,TRUE
"61","Employee 61",44822.7469692938,49538.0695047788,4715.32253548503,TRUE
"62","Employee 62",46858.4562954493,51904.8072956502,5046.35100020096,TRUE
"63","Employee 63",46416.7313743383,42774.1836418863,-3642.54773245193,FALSE
"64","Employee 64",47939.6893666126,48140.5508029275,200.861436314881,TRUE
"65","Employee 65",43870.0770144351,42652.8292242438,-1217.24779019132,FALSE
"66","Employee 66",49748.6542933621,52871.5085377917,3122.85424442962,TRUE
"67","Employee 67",40190.2907271869,48192.1138544567,8001.82312726974,TRUE
"68","Employee 68",49819.1432189196,59411.4936329424,9592.3504140228,TRUE
"69","Employee 69",48025.307727512,48385.553144617,360.245417105034,TRUE
"70","Employee 70",42937.7706255764,49309.4186845701,6371.64805899374,TRUE
"71","Employee 71",45079.569274094,42629.8023702111,-2449.76690388285,FALSE
"72","Employee 72",44738.6410995387,47699.7668051627,2961.125705624,TRUE
"73","Employee 73",45251.4311927371,51173.362339614,5921.93114687689,TRUE
"74","Employee 74",48056.2140117399,57889.9252426345,9833.71123089455,TRUE
"75","Employee 75",44967.4608185887,54412.7900281455,9445.3292095568,TRUE
"76","Employee 76",41204.3646699749,50129.8059197143,8925.44124973938,TRUE
"77","Employee 77",49013.9867644757,44135.7117518783,-4878.27501259744,FALSE
"78","Employee 78",47545.569173526,56368.0486544035,8822.47948087752,TRUE
"79","Employee 79",45331.9916361943,46808.1545166206,1476.16288042627,TRUE
"80","Employee 80",42893.8681306317,49867.7764192689,6973.90828863718,TRUE
"81","Employee 81",49060.4210365564,52638.3779465687,3577.95691001229,TRUE
"82","Employee 82",41871.7127223499,44158.5145553108,2286.80183296092,TRUE
"83","Employee 83",45195.2915871516,41685.4646836873,-3509.82690346427,FALSE
"84","Employee 84",40036.8793797679,42181.7008464132,2144.82146664523,TRUE
"85","Employee 85",41489.8695517331,38313.4534140117,-3176.41613772139,FALSE
"86","Employee 86",41304.5122893527,39826.4588788152,-1478.05341053754,FALSE
"87","Employee 87",43695.3381123021,46711.7018101271,3016.363697825,TRUE
"88","Employee 88",45109.923959244,40791.2699494045,-4318.65400983952,FALSE
"89","Employee 89",45348.6858308315,43906.8421092816,-1441.84372154996,FALSE
"90","Employee 90",46840.7642538659,44825.9283159859,-2014.83593787998,FALSE
"91","Employee 91",40299.4420565665,41977.0318036899,1677.58974712342,TRUE
"92","Employee 92",40434.929728508,40984.5423500519,549.612621543929,TRUE
"93","Employee 93",45737.5065376982,52903.3334471751,7165.82690947689,TRUE
"94","Employee 94",43649.9550309964,50453.354709316,6803.39967831969,TRUE
"95","Employee 95",42421.4253365062,41564.7379704751,-856.68736603111,FALSE
"96","Employee 96",46814.6335450001,42539.0661566053,-4275.56738839485,FALSE
"97","Employee 97",48161.3368517719,43839.8500485346,-4321.48680323735,FALSE
"98","Employee 98",42103.1034970656,50688.7639896013,8585.66049253568,TRUE
"99","Employee 99",40686.8226313964,45775.5762338638,5088.75360246748,TRUE
"100","Employee 100",44602.5785198435,54104.066711152,9501.48819130845,TRUE
